Year,Province,Healthcare_Access,Healthcare_Expenditure,Average_Income,Physician_Density,Rural_Urban_Physician_Ratio,Number_of_physicians,Rural_Physician,Rural_Physician_Propotion,Population,Aging_Population,Aging_Population_Rate
2020,Ontario,11441400,175253,58100,229.2,4.49%,33830,1449,4.28%,14761811,2587513,17.53%
2020,Manitoba,918400,19041,53200,216.4,12.44%,2987,329,11.01%,1380132,222516,16.12%
2020,Saskatchewan,769400,18065,56600,217.2,12.13%,2535,274,10.81%,1167386,192121,16.46%
2020,Alberta,3123300,61948,61900,254.0,7.41%,11197,771,6.89%,4407495,606936,13.77%
2020,British Columbia,3576200,68960,57300,252.6,5.70%,13073,703,5.38%,5176101,982576,18.98%
2021,Newfoundland and Labrador,401700,8528,52600,261.5,31.29%,1378,327,23.73%,527056,123208,23.38%
2021,Prince Edward Island,112600,2529,49700,212.2,10.71%,344,33,9.59%,162133,33293,20.53%
2021,Nova Scotia,732600,14154,51300,273.6,21.52%,2736,482,17.62%,999908,217785,21.78%
2021,New Brunswick,604100,11195,50600,255.7,18.41%,2022,314,15.53%,790802,178652,22.59%
2021,Quebec,5720000,137899,54600,261.9,9.76%,22451,1995,8.89%,8572020,1727292,20.15%
2021,Ontario,11452900,186564,59200,234.9,4.50%,34860,1497,4.29%,14842488,2671337,18.00%
2021,Manitoba,940400,20197,52600,215.2,12.73%,2996,337,11.25%,1391924,229374,16.48%
2021,Saskatchewan,778400,21799,55600,218.1,11.57%,2547,264,10.37%,1167711,198565,17.00%
2021,Alberta,3217800,65726,63000,250.1,7.57%,11085,778,7.02%,4431531,636049,14.35%
2021,British Columbia,3710800,74169,58400,259.1,5.72%,13540,731,5.40%,5226665,1018096,19.48%
2022,Newfoundland and Labrador,377900,9370,51100,266.2,26.39%,1415,294,20.78%,531583,126971,23.90%
2022,Prince Edward Island,109600,2661,48400,212.9,12.06%,356,38,10.67%,167188,34600,20.69%
2022,Nova Scotia,734200,15529,48800,269.0,21.47%,2758,483,17.51%,1025445,225342,21.98%
2022,New Brunswick,614000,12780,48200,267.2,18.22%,2163,333,15.40%,809568,185141,22.88%
2022,Quebec,5817900,143691,54700,262.5,9.93%,22765,2056,9.03%,8672185,1788283,20.62%
2022,Ontario,11674100,191146,58700,233.2,4.35%,35320,1467,4.15%,15145006,2763068,18.25%
2022,Manitoba,986200,21311,50700,214.4,13.32%,3031,355,11.71%,1413409,236496,16.74%
2022,Saskatchewan,797500,21391,55700,221.1,12.84%,2606,296,11.36%,1178422,204457,17.35%
2022,Alberta,3371100,67216,61500,245.6,7.27%,11078,749,6.76%,4510891,667670,14.80%
2022,British Columbia,3798200,80924,58300,268.0,5.51%,14353,748,5.21%,5356284,1053617,19.67%
